tract_fips,NAME,pop_16plus,in_labor_force,employed,unemployed,workers_16plus,commute_drove_alone,commute_carpooled,commute_public_transit,commute_walked,commute_other,commute_work_from_home,mean_commute_time_min,median_household_income,mean_household_income,per_capita_income,poverty_rate_pct,with_health_insurance,without_health_insurance,industry_agriculture,industry_construction,industry_manufacturing,industry_wholesale,industry_retail,industry_transport_warehouse,occupation_management,occupation_service,n_stops,n_trips_total,n_routes_served,avg_trips_per_stop,wheelchair_accessible_stops,has_rail_access,has_bus,routes_serving,transit_jobs_15min,transit_workers_15min,auto_jobs_15min,transit_auto_ratio_15min,transit_jobs_30min,transit_workers_30min,auto_jobs_30min,transit_auto_ratio_30min,transit_jobs_45min,transit_workers_45min,auto_jobs_45min,transit_auto_ratio_45min,transit_jobs_60min,transit_workers_60min,auto_jobs_60min,transit_auto_ratio_60min,bike_lts2_jobs_30min,bike_lts3_jobs_30min,n_census_blocks,rt_active_vehicles,rt_active_trips,pct_public_transit,pct_drove_alone,pct_walked,unemployment_rate,transit_desert
12086000107,Census Tract 1.07; Miami-Dade County; Florida,2474,1545,1487,58,1476,909,115,49,0,23,380,26.7,53281,114816,54784,-888888888,-888888888,-888888888,0,42,54,12,204,34,631,391,8,1364,4.0,170.5,0,0,1,"100, 75, BALHVL, SUNNYBL, SUNNYOR",2796.25,2890.625,100208.5,0.0279,19117.0,16598.375,925571.0,0.0207,63455.0,55821.0,1987315.0,0.0319,148984.375,138183.25,2313266.25,0.0644,1348.875,1348.875,8.0,0,0,3.32,61.59,0.0,3.75,0
12086000109,Census Tract 1.09; Miami-Dade County; Florida,3053,2026,2000,26,1979,1293,212,178,53,25,218,28.0,59577,76117,31513,-888888888,-888888888,-888888888,0,169,109,62,132,261,680,442,31,5061,5.0,163.25806451612902,0,0,1,"135, 203, 3, 75, BAYHAR, NMBEACA, NMBEACC, NOMBLU, NOMRED, SUNNYOR",2278.9565217391305,1233.2173913043478,111154.22826086957,0.0205,17153.043478260868,16304.83695652174,1055241.3152173914,0.0163,63232.858695652176,63007.88043478261,1959244.6630434783,0.0323,176970.39130434784,153105.03260869565,2259683.782608696,0.0783,4057.945652173913,27497.195652173912,92.0,0,1,8.99,65.34,2.68,1.28,0
12086000115,Census Tract 1.15; Miami-Dade County; Florida,1538,889,812,77,812,519,96,8,5,69,115,29.1,104427,220216,94396,-888888888,-888888888,-888888888,3,62,45,40,53,107,365,145,3,178,2.0,59.333333333333336,0,0,1,"SUNNYBL, SUNNYOR",1567.5238095238096,1437.0,118306.09523809524,0.0132,20043.333333333332,12162.42857142857,878397.2380952381,0.0228,55820.666666666664,45453.09523809524,2023588.380952381,0.0276,107830.76190476191,118192.42857142857,2397227.380952381,0.045,2237.6666666666665,14927.095238095239,21.0,0,0,0.99,63.92,0.62,8.66,0
12086000118,Census Tract 1.18; Miami-Dade County; Florida,915,415,396,19,387,183,24,24,16,7,133,33.6,103309,205299,89072,-888888888,-888888888,-888888888,0,0,20,41,86,0,236,39,4,1251,4.0,312.75,0,0,1,"100, 75, BALHVL, SUNNYBL, SUNNYOR",5064.333333333333,4831.333333333333,119157.33333333333,0.0425,23651.666666666668,18191.666666666668,1062784.0,0.0223,69372.0,61782.666666666664,2036490.6666666667,0.0341,154082.33333333334,147817.66666666666,2380604.6666666665,0.0647,3682.3333333333335,4074.6666666666665,3.0,1,0,6.2,47.29,4.13,4.58,0
12086000120,Census Tract 1.20; Miami-Dade County; Florida,3499,2192,2005,187,1972,1179,71,15,19,126,562,31.3,73667,122848,59310,-888888888,-888888888,-888888888,0,109,71,167,132,203,1100,107,13,1654,4.0,127.23076923076923,0,0,1,"125, 203, 3, BAYHAR, NOMRED",1960.8285714285714,1542.857142857143,108947.65714285715,0.018,13958.0,14004.057142857142,1126132.0857142857,0.0124,57416.8,59968.91428571429,1980225.9714285715,0.029,174110.62857142856,151590.08571428573,2272183.1714285715,0.0766,5869.771428571428,26220.14285714286,35.0,1,0,0.76,59.79,0.96,8.53,0
12086000121,Census Tract 1.21; Miami-Dade County; Florida,1515,718,695,23,673,387,47,0,11,54,174,27.4,84977,127274,59956,-888888888,-888888888,-888888888,0,88,23,36,80,61,401,16,5,176,3.0,35.2,0,0,1,"AVTGRN, SUNNYBL, SUNNYOR",1036.0833333333333,2116.4166666666665,141496.41666666666,0.0073,15797.75,8218.833333333334,1049346.0,0.0151,44666.416666666664,30659.166666666668,2066713.25,0.0216,86408.83333333333,89303.16666666667,2427074.5,0.0356,11606.166666666666,38926.75,12.0,0,0,0.0,57.5,1.63,3.2,0
12086000122,Census Tract 1.22; Miami-Dade County; Florida,3295,1992,1971,21,1971,1129,197,14,0,88,543,31.5,99469,155590,75879,-888888888,-888888888,-888888888,0,82,119,91,291,231,1247,41,3,84,1.0,28.0,0,0,1,AVTGRN,1203.923076923077,2037.7692307692307,137936.61538461538,0.0087,16351.23076923077,8553.076923076924,1022871.6153846154,0.016,45066.53846153846,31414.23076923077,2067316.3846153845,0.0218,87447.69230769231,90637.15384615384,2427296.3846153845,0.036,14999.692307692309,43203.846153846156,13.0,0,0,0.71,57.28,0.0,1.05,0
12086000123,Census Tract 1.23; Miami-Dade County; Florida,3423,1553,1507,46,1465,785,48,53,84,56,439,25.0,64348,133848,63744,-888888888,-888888888,-888888888,0,103,58,46,127,165,736,267,23,3845,3.0,167.17391304347825,0,0,1,"100, 75, BALHVL, SUNNYBL, SUNNYOR",3300.470588235294,2394.9411764705883,125293.17647058824,0.0263,21925.970588235294,14023.5,968664.4411764706,0.0226,59327.35294117647,50703.44117647059,2035556.4411764706,0.0291,124213.11764705883,127474.44117647059,2399935.411764706,0.0518,2650.9117647058824,4457.441176470588,34.0,1,1,3.62,53.58,5.73,2.96,0
12086000124,Census Tract 1.24; Miami-Dade County; Florida,2727,1600,1488,112,1461,1066,76,107,98,22,92,31.4,48929,56730,23883,-888888888,-888888888,-888888888,0,46,53,134,158,105,297,558,16,1672,5.0,104.5,0,0,1,"125, 16, 203, 3, BAYHAR, NOMBLU, NOMRED",5298.558823529412,4054.294117647059,135015.32352941178,0.0392,26024.58823529412,31358.558823529413,1303795.4705882352,0.02,100311.70588235294,102664.26470588235,2046286.0882352942,0.049,264686.5882352941,213538.29411764705,2340554.2647058824,0.1131,7540.794117647059,37830.029411764706,34.0,0,0,7.32,72.96,6.71,7.0,0
12086000125,Census Tract 1.25; Miami-Dade County; Florida,3483,2009,1884,125,1869,1166,74,66,106,189,268,39.5,53281,69904,29510,-888888888,-888888888,-888888888,0,127,81,146,339,307,511,297,4,645,4.0,161.25,0,0,1,"100, 75, SUNNYBL, SUNNYOR",3775.5714285714284,3910.8571428571427,107036.42857142857,0.0353,17486.85714285714,13470.42857142857,956921.7142857143,0.0183,57032.57142857143,49701.28571428572,2016744.0,0.0283,127042.71428571429,124569.0,2351810.285714286,0.054,4086.714285714286,5067.857142857143,7.0,0,0,3.53,62.39,5.67,6.22,0
