tract_fips,NAME,pop_16plus,in_labor_force,employed,unemployed,workers_16plus,commute_drove_alone,commute_carpooled,commute_public_transit,commute_walked,commute_other,commute_work_from_home,mean_commute_time_min,median_household_income,mean_household_income,per_capita_income,poverty_rate_pct,with_health_insurance,without_health_insurance,industry_agriculture,industry_construction,industry_manufacturing,industry_wholesale,industry_retail,industry_transport_warehouse,occupation_management,occupation_service,n_stops,n_trips_total,n_routes_served,avg_trips_per_stop,wheelchair_accessible_stops,has_rail_access,transit_jobs_accessible_30min,transit_workers_30min,n_blocks,auto_jobs_accessible_30min,auto_workers_30min,transit_auto_ratio,rt_active_vehicles,rt_active_trips
12086000107,Census Tract 1.07; Miami-Dade County; Florida,2474,1545,1487,58,1476,909,115,49,0,23,380,26.7,53281,114816,54784,-888888888,-888888888,-888888888,0,42,54,12,204,34,631,391,8,1364,4.0,170.5,0,0,19117.0,16598.375,8.0,925571.0,839281.25,0.0207,0,0
12086000109,Census Tract 1.09; Miami-Dade County; Florida,3053,2026,2000,26,1979,1293,212,178,53,25,218,28.0,59577,76117,31513,-888888888,-888888888,-888888888,0,169,109,62,132,261,680,442,31,5061,5.0,163.25806451612902,0,0,17153.043478260868,16304.83695652174,92.0,1055241.3152173914,931352.7282608695,0.0163,0,1
12086000115,Census Tract 1.15; Miami-Dade County; Florida,1538,889,812,77,812,519,96,8,5,69,115,29.1,104427,220216,94396,-888888888,-888888888,-888888888,3,62,45,40,53,107,365,145,3,178,2.0,59.333333333333336,0,0,20043.333333333332,12162.42857142857,21.0,878397.2380952381,884950.619047619,0.0228,0,0
12086000118,Census Tract 1.18; Miami-Dade County; Florida,915,415,396,19,387,183,24,24,16,7,133,33.6,103309,205299,89072,-888888888,-888888888,-888888888,0,0,20,41,86,0,236,39,4,1251,4.0,312.75,0,0,23651.666666666668,18191.666666666668,3.0,1062784.0,947476.0,0.0223,1,0
12086000120,Census Tract 1.20; Miami-Dade County; Florida,3499,2192,2005,187,1972,1179,71,15,19,126,562,31.3,73667,122848,59310,-888888888,-888888888,-888888888,0,109,71,167,132,203,1100,107,13,1654,4.0,127.23076923076923,0,0,13958.0,14004.057142857142,35.0,1126132.0857142857,963672.9714285714,0.0124,1,0
12086000121,Census Tract 1.21; Miami-Dade County; Florida,1515,718,695,23,673,387,47,0,11,54,174,27.4,84977,127274,59956,-888888888,-888888888,-888888888,0,88,23,36,80,61,401,16,5,176,3.0,35.2,0,0,15797.75,8218.833333333334,12.0,1049346.0,995374.4166666666,0.0151,0,0
12086000122,Census Tract 1.22; Miami-Dade County; Florida,3295,1992,1971,21,1971,1129,197,14,0,88,543,31.5,99469,155590,75879,-888888888,-888888888,-888888888,0,82,119,91,291,231,1247,41,3,84,1.0,28.0,0,0,16351.23076923077,8553.076923076924,13.0,1022871.6153846154,990883.5384615385,0.016,0,0
12086000123,Census Tract 1.23; Miami-Dade County; Florida,3423,1553,1507,46,1465,785,48,53,84,56,439,25.0,64348,133848,63744,-888888888,-888888888,-888888888,0,103,58,46,127,165,736,267,23,3845,3.0,167.17391304347825,0,0,21925.970588235294,14023.5,34.0,968664.4411764706,920623.0294117647,0.0226,1,1
12086000124,Census Tract 1.24; Miami-Dade County; Florida,2727,1600,1488,112,1461,1066,76,107,98,22,92,31.4,48929,56730,23883,-888888888,-888888888,-888888888,0,46,53,134,158,105,297,558,16,1672,5.0,104.5,0,0,26024.58823529412,31358.558823529413,34.0,1303795.4705882352,1104018.0294117648,0.02,0,0
12086000125,Census Tract 1.25; Miami-Dade County; Florida,3483,2009,1884,125,1869,1166,74,66,106,189,268,39.5,53281,69904,29510,-888888888,-888888888,-888888888,0,127,81,146,339,307,511,297,4,645,4.0,161.25,0,0,17486.85714285714,13470.42857142857,7.0,956921.7142857143,880726.0,0.0183,0,0
12086000126,Census Tract 1.26; Miami-Dade County; Florida,1697,745,732,13,732,502,42,56,34,0,98,25.5,36287,100976,58655,-888888888,-888888888,-888888888,0,78,0,130,203,44,91,183,12,2517,3.0,209.75,0,0,20414.4,14515.2,5.0,925455.0,869754.8,0.0221,1,0
