GEOID,NAME,employment_rate_pct,unemployment_rate_pct,commute_drove_alone_pct,commute_public_transit_pct,commute_walked_pct,commute_wfh_pct,mean_commute_time_min,median_household_income,mean_household_income,per_capita_income,hh_income_under_10k_pct,hh_income_10k_15k_pct,hh_income_15k_25k_pct,hh_income_25k_35k_pct,hh_income_35k_50k_pct,hh_income_50k_75k_pct,hh_income_75k_100k_pct,hh_income_100k_150k_pct,hh_income_150k_200k_pct,hh_income_200k_plus_pct,poverty_rate_pct,snap_benefits_pct,no_health_insurance_pct,hh_no_vehicle_pct,hh_1_vehicle_pct,hh_2_vehicles_pct,hh_3plus_vehicles_pct,owner_occupied_pct,renter_occupied_pct,median_gross_rent,rent_burden_30pct_plus,rent_burden_50pct_plus,total_housing_units,occupied_units_pct,vacant_units_pct,total_population,median_age,under_18_pct,age_65_plus_pct,white_alone_pct,black_alone_pct,two_or_more_races_pct,asian_alone_pct,hispanic_latino_pct,foreign_born_pct,year
12086000107,"Census Tract 1.07, Miami-Dade County, Florida",62.6,1.9,87.7,1.1,3.7,6.2,31.0,52389,81011,44246,2.2,4.4,6.4,11.8,14.6,26.9,8.5,13.8,3.5,8.0,10.9,3.5,4.4,4.4,58.8,30.5,6.3,35.9,64.1,1661,6.8,65.3,2476,57.3,42.7,2699,51.1,10.6,25.3,93.7,1.5,1.6,0.9,49.1,57.9,2019
12086000109,"Census Tract 1.09, Miami-Dade County, Florida",61.2,4.1,78.4,11.1,0.0,1.1,31.3,41518,58325,22526,16.0,4.2,15.3,10.2,13.9,19.6,5.3,6.7,5.0,3.7,23.3,33.9,21.3,12.7,40.9,33.3,13.1,26.7,73.3,1196,18.4,53.0,1260,84.8,15.2,2991,37.5,22.2,7.0,75.5,16.6,1.2,0.5,70.5,57.1,2019
12086000113,"Census Tract 1.13, Miami-Dade County, Florida",55.8,7.3,77.9,2.0,1.2,9.5,33.7,61991,100468,49393,7.6,3.1,10.6,10.8,13.3,8.4,11.8,9.6,11.2,13.7,8.3,3.9,7.2,7.2,45.9,40.5,6.4,53.8,46.2,2150,2.8,56.5,6488,58.2,41.8,7966,50.0,12.7,26.1,91.8,3.4,1.0,2.0,41.0,55.8,2019
12086000115,"Census Tract 1.15, Miami-Dade County, Florida",59.7,5.0,74.7,7.2,0.2,10.1,31.0,72879,180609,69924,5.6,1.9,3.1,6.2,19.0,16.9,9.6,9.4,7.0,21.2,7.0,1.3,10.4,1.9,41.8,43.4,12.9,52.4,47.6,1534,5.0,50.4,2573,39.5,60.5,2713,38.1,18.3,17.7,98.4,0.8,0.0,0.6,50.4,63.6,2019
12086000118,"Census Tract 1.18, Miami-Dade County, Florida",43.7,3.8,67.1,3.3,0.0,16.7,29.0,111250,289169,130286,9.5,3.6,0.0,7.7,4.5,11.4,11.8,11.6,8.0,31.8,12.1,2.3,9.2,13.2,60.9,20.7,5.2,82.3,17.7,3238,0.0,69.7,1904,23.1,76.9,977,54.3,15.3,29.3,92.5,0.0,1.1,1.5,22.6,59.4,2019
12086000119,"Census Tract 1.19, Miami-Dade County, Florida",50.4,4.4,89.5,1.2,0.0,3.1,40.2,59004,107847,54232,9.1,5.7,9.4,6.4,11.9,18.8,6.7,12.3,9.6,10.0,7.8,4.4,7.8,11.4,49.2,33.3,6.1,52.9,47.1,2112,9.0,66.3,3170,63.2,36.8,4082,50.6,14.2,27.1,95.3,0.0,2.6,2.0,39.0,46.0,2019
12086000120,"Census Tract 1.20, Miami-Dade County, Florida",66.8,5.6,78.7,2.3,1.4,9.2,29.1,79954,130711,55436,3.4,2.5,5.7,7.8,10.6,18.0,17.6,10.1,9.0,15.5,7.6,8.1,20.2,5.0,40.1,38.0,16.9,65.5,34.5,1441,14.8,47.5,2233,80.8,19.2,4331,44.0,17.3,14.3,90.4,4.5,1.6,1.7,54.4,50.0,2019
12086000121,"Census Tract 1.21, Miami-Dade County, Florida",36.0,6.6,78.7,0.0,1.7,11.7,33.7,106964,173285,77650,3.6,5.4,8.6,10.9,6.4,10.4,2.9,18.4,9.0,24.3,7.9,2.9,5.5,4.2,52.9,37.8,5.1,76.2,23.8,2444,7.4,33.8,1787,34.3,65.7,1397,56.4,15.8,36.0,83.2,8.5,1.4,5.9,18.5,41.4,2019
12086000122,"Census Tract 1.22, Miami-Dade County, Florida",51.4,1.5,56.7,2.0,0.0,16.2,30.6,74583,125571,61782,8.4,3.4,5.6,5.4,14.6,12.8,10.4,15.5,10.5,13.3,10.7,1.2,3.6,9.3,54.0,33.2,3.5,73.8,26.2,1598,8.6,56.9,3447,60.5,39.5,4348,53.9,15.2,29.9,97.0,1.4,0.0,0.5,42.2,45.8,2019
12086000123,"Census Tract 1.23, Miami-Dade County, Florida",49.0,2.6,73.0,0.7,3.0,9.5,33.2,61250,99580,44843,10.3,3.8,13.4,8.5,7.2,12.3,13.6,16.0,4.7,10.3,17.7,7.3,9.1,6.5,52.4,31.0,10.0,72.7,27.3,1581,8.2,51.7,4341,41.7,58.3,4157,52.0,13.2,30.0,88.2,4.2,4.0,3.1,34.6,62.8,2019
