GEOID,NAME,employment_rate_pct,unemployment_rate_pct,commute_drove_alone_pct,commute_public_transit_pct,commute_walked_pct,commute_wfh_pct,mean_commute_time_min,median_household_income,mean_household_income,per_capita_income,hh_income_under_10k_pct,hh_income_10k_15k_pct,hh_income_15k_25k_pct,hh_income_25k_35k_pct,hh_income_35k_50k_pct,hh_income_50k_75k_pct,hh_income_75k_100k_pct,hh_income_100k_150k_pct,hh_income_150k_200k_pct,hh_income_200k_plus_pct,poverty_rate_pct,snap_benefits_pct,no_health_insurance_pct,hh_no_vehicle_pct,hh_1_vehicle_pct,hh_2_vehicles_pct,hh_3plus_vehicles_pct,owner_occupied_pct,renter_occupied_pct,median_gross_rent,rent_burden_30pct_plus,rent_burden_50pct_plus,total_housing_units,occupied_units_pct,vacant_units_pct,total_population,median_age,under_18_pct,age_65_plus_pct,white_alone_pct,black_alone_pct,two_or_more_races_pct,asian_alone_pct,hispanic_latino_pct,foreign_born_pct,year
12086000107,Census Tract 1.07; Miami-Dade County; Florida,61.2,2.9,68.5,3.4,1.9,22.8,27.8,54811,99619,52996,7.1,3.7,15.5,12.2,7.5,18.8,9.0,12.4,3.6,10.0,14.4,6.8,11.1,17.2,52.4,23.7,6.8,34.8,65.2,1807,4.1,64.4,2655,59.7,40.3,3013,53.2,12.6,25.4,75.8,1.4,14.1,2.3,46.6,61.9,2022
12086000109,Census Tract 1.09; Miami-Dade County; Florida,68.5,1.4,78.5,10.1,1.7,4.6,28.5,55179,71688,30419,1.2,7.6,15.4,6.9,9.7,18.9,17.4,12.7,9.1,1.1,20.8,14.6,22.6,8.1,44.5,37.6,9.8,26.2,73.8,1464,21.2,50.7,1610,79.7,20.3,3187,32.5,19.4,9.9,49.1,6.0,31.2,1.8,61.9,64.2,2022
12086000115,Census Tract 1.15; Miami-Dade County; Florida,57.1,8.2,68.8,3.3,1.1,15.6,28.7,97847,192110,81437,0.9,6.2,6.6,4.0,9.9,12.1,14.5,14.3,5.6,25.9,7.2,4.6,11.1,9.7,40.2,33.8,16.4,56.3,43.7,2028,3.0,46.0,2448,30.5,69.5,1788,41.9,19.0,16.8,86.2,2.0,10.6,0.2,39.5,56.8,2022
12086000118,Census Tract 1.18; Miami-Dade County; Florida,42.8,3.6,50.6,4.3,2.5,35.7,32.7,98824,210602,88781,7.1,4.9,1.2,11.0,2.4,17.3,7.7,12.8,5.9,29.7,6.5,2.0,13.4,10.8,58.1,25.8,5.3,82.3,17.7,2643,0.0,33.8,1839,26.8,73.2,1208,56.0,11.8,35.3,72.6,1.7,23.5,1.2,31.2,61.6,2022
12086000120,Census Tract 1.20; Miami-Dade County; Florida,63.6,7.8,72.6,0.7,0.0,20.1,29.8,73939,128214,61832,3.0,1.9,5.8,4.7,12.4,22.8,15.2,15.5,4.1,14.4,10.0,4.5,10.4,8.2,42.8,34.6,14.4,76.3,23.7,1626,5.1,46.3,2179,91.2,8.8,4175,44.0,15.5,15.2,66.6,5.7,18.4,2.0,54.4,50.9,2022
12086000121,Census Tract 1.21; Miami-Dade County; Florida,40.0,6.6,68.3,0.0,2.3,19.1,23.6,87500,151920,73256,10.9,6.4,5.0,5.3,2.8,10.0,12.3,16.0,7.1,24.4,15.8,2.0,7.7,5.8,60.6,30.4,3.1,71.3,28.7,2181,7.5,52.7,1601,54.0,46.0,1787,58.0,17.1,40.5,63.7,4.6,22.0,8.8,34.0,50.4,2022
12086000122,Census Tract 1.22; Miami-Dade County; Florida,58.2,0.0,57.8,0.6,0.0,25.1,32.3,92524,153296,73406,1.6,1.9,2.0,7.1,10.6,17.2,12.5,12.6,19.5,15.0,3.5,5.2,3.5,5.3,50.5,35.3,8.9,71.7,28.3,2177,6.3,69.1,3082,59.0,41.0,3883,51.8,15.5,26.2,76.0,1.2,17.0,1.8,51.8,51.8,2022
12086000123,Census Tract 1.23; Miami-Dade County; Florida,46.1,1.5,58.1,0.0,3.2,24.2,25.6,56500,106188,51378,16.8,3.8,7.3,5.9,10.1,11.4,9.0,16.3,7.1,12.2,13.9,4.6,4.9,3.7,57.1,28.2,10.9,67.9,32.1,1562,14.8,43.0,4310,45.2,54.8,4099,51.9,14.3,31.0,71.2,1.4,26.7,0.0,43.2,64.2,2022
12086000124,Census Tract 1.24; Miami-Dade County; Florida,54.9,8.6,69.2,10.7,5.2,7.6,32.3,42105,51115,21018,3.3,6.4,17.7,11.5,20.9,26.0,11.4,1.8,0.0,1.0,10.5,39.5,21.3,14.1,60.1,17.2,8.6,29.6,70.4,1326,9.8,55.4,1409,93.3,6.7,3515,31.7,15.8,15.0,37.8,41.2,13.5,0.4,41.7,52.1,2022
12086000125,Census Tract 1.25; Miami-Dade County; Florida,51.3,5.2,66.5,4.1,4.7,10.7,39.2,50440,60871,27763,23.7,1.5,5.5,4.3,14.3,23.1,8.8,13.2,3.2,2.5,16.2,4.9,8.5,7.8,63.3,26.8,2.1,52.7,47.3,2256,4.4,60.7,3149,61.2,38.8,4314,44.7,23.6,25.9,76.4,0.8,21.2,1.1,46.6,59.1,2022
12086000126,Census Tract 1.26; Miami-Dade County; Florida,32.3,2.0,68.4,13.3,0.0,16.0,40.6,32600,93182,49638,21.7,4.7,18.6,15.3,4.9,10.3,10.6,4.1,3.1,6.7,27.8,11.6,2.6,18.2,67.2,12.3,2.4,53.9,46.1,1221,8.5,61.1,2101,50.0,50.0,1978,62.0,9.8,46.7,80.9,0.3,15.8,1.0,47.1,83.8,2022
