GEOID,NAME,employment_rate_pct,unemployment_rate_pct,commute_drove_alone_pct,commute_public_transit_pct,commute_walked_pct,commute_wfh_pct,mean_commute_time_min,median_household_income,mean_household_income,per_capita_income,hh_income_under_10k_pct,hh_income_10k_15k_pct,hh_income_15k_25k_pct,hh_income_25k_35k_pct,hh_income_35k_50k_pct,hh_income_50k_75k_pct,hh_income_75k_100k_pct,hh_income_100k_150k_pct,hh_income_150k_200k_pct,hh_income_200k_plus_pct,poverty_rate_pct,snap_benefits_pct,no_health_insurance_pct,hh_no_vehicle_pct,hh_1_vehicle_pct,hh_2_vehicles_pct,hh_3plus_vehicles_pct,owner_occupied_pct,renter_occupied_pct,median_gross_rent,rent_burden_30pct_plus,rent_burden_50pct_plus,total_housing_units,occupied_units_pct,vacant_units_pct,total_population,median_age,under_18_pct,age_65_plus_pct,white_alone_pct,two_or_more_races_pct,year,hispanic_latino_pct,black_alone_pct,asian_alone_pct,foreign_born_pct
12086000107,Census Tract 1.07; Miami-Dade County; Florida,57.1,4.8,53.3,5.0,0.0,28.0,27.5,64545,128960,54666,14.0,4.2,15.1,8.8,2.6,6.9,5.7,18.5,7.9,16.3,17.6,6.9,13.9,19.9,44.9,26.2,9.0,37.4,62.6,2301,7.5,62.5,2543,52.1,47.9,3134,45.8,19.2,20.4,63.3,25.6,2024,36.2,0.0,3.1,61.5
12086000109,Census Tract 1.09; Miami-Dade County; Florida,72.2,0.8,61.6,9.8,1.7,16.6,34.8,70752,81656,33361,0.0,16.0,3.3,3.8,8.1,24.0,17.8,14.1,6.7,6.1,15.5,29.0,18.4,6.5,52.7,36.8,4.1,27.2,72.8,2351,10.9,61.5,1842,81.5,18.5,3801,33.6,23.7,9.8,37.6,43.4,2024,59.5,6.2,2.3,65.7
12086000115,Census Tract 1.15; Miami-Dade County; Florida,47.8,8.5,57.4,0.0,1.5,22.4,28.2,105792,200666,87050,2.9,6.3,4.0,3.6,17.7,6.3,3.8,21.7,3.8,29.9,11.5,4.4,9.0,9.1,47.6,27.2,16.1,72.3,27.7,2222,0.0,57.1,2296,33.0,67.0,1796,47.0,19.0,20.2,76.4,17.9,2024,34.1,2.2,0.0,51.1
12086000118,Census Tract 1.18; Miami-Dade County; Florida,44.9,0.0,32.7,8.7,8.7,41.6,28.2,142386,254769,97647,3.6,1.3,0.0,6.9,1.1,17.1,1.1,19.2,9.7,40.2,2.7,0.0,13.5,10.9,56.6,28.0,4.4,80.0,20.0,3501,9.1,46.6,1716,27.7,72.3,1259,47.1,17.9,33.4,64.9,29.1,2024,34.1,1.4,0.0,67.9
12086000120,Census Tract 1.20; Miami-Dade County; Florida,64.9,3.8,65.4,3.7,1.5,25.6,31.5,74891,110714,53705,4.3,1.0,1.9,8.5,9.4,24.9,17.3,13.2,3.2,16.2,9.7,2.5,6.8,7.7,48.0,31.0,13.3,69.3,30.7,2240,4.9,85.7,2150,89.0,11.0,3934,43.9,14.7,16.6,50.1,38.6,2024,50.5,2.9,3.1,55.5
12086000121,Census Tract 1.21; Miami-Dade County; Florida,51.1,7.7,55.1,0.0,1.0,27.8,26.7,91444,119174,55947,9.4,3.0,4.8,5.2,2.8,10.6,19.8,21.5,7.2,15.8,13.0,0.7,3.8,1.9,61.8,33.1,3.3,66.2,33.8,2659,2.8,71.5,1527,55.9,44.1,1798,50.9,21.2,33.8,50.4,43.4,2024,53.4,1.9,2.0,56.5
12086000122,Census Tract 1.22; Miami-Dade County; Florida,56.6,1.4,53.8,6.1,0.0,31.2,33.3,100367,128157,67198,0.0,0.7,2.1,4.4,9.0,24.2,8.9,18.0,17.7,15.0,1.8,5.3,5.8,6.4,59.7,24.5,9.5,77.2,22.8,2272,6.5,49.1,2839,65.4,34.6,3629,54.2,10.7,33.2,66.8,27.2,2024,46.7,0.9,1.3,46.4
12086000123,Census Tract 1.23; Miami-Dade County; Florida,47.6,4.1,52.0,3.8,5.2,30.0,28.4,63542,138498,62789,16.3,4.8,2.8,5.8,12.5,14.0,8.6,11.1,6.4,17.7,14.4,4.0,6.6,3.1,65.1,23.0,8.8,68.2,31.8,1808,31.8,42.6,3877,52.2,47.8,4471,45.6,22.2,27.0,63.5,32.0,2024,36.7,0.0,0.4,63.5
12086000124,Census Tract 1.24; Miami-Dade County; Florida,52.0,7.4,67.1,6.7,13.1,6.8,28.5,44516,49107,21147,3.6,9.2,15.8,15.0,10.7,24.3,17.4,1.8,2.2,0.0,14.9,40.0,25.9,16.2,65.4,17.3,1.1,30.5,69.5,1628,7.2,68.2,1399,86.2,13.8,3064,42.8,18.6,18.2,28.6,23.2,2024,46.7,36.6,0.6,62.7
12086000125,Census Tract 1.25; Miami-Dade County; Florida,50.8,5.6,56.2,3.9,7.5,21.0,35.2,55366,72608,31246,3.9,16.0,4.5,7.2,13.6,17.6,9.9,14.1,9.2,3.8,11.0,9.3,10.8,11.9,64.6,22.1,1.4,48.5,51.5,2676,3.2,62.9,2811,66.7,33.3,4413,43.3,23.8,27.2,68.8,27.0,2024,40.2,0.8,1.2,69.9
12086000126,Census Tract 1.26; Miami-Dade County; Florida,35.8,1.9,70.2,5.4,4.4,15.7,22.5,34514,124816,73303,18.7,13.4,7.1,11.1,15.3,14.6,1.6,6.9,0.7,10.5,30.6,9.9,1.1,18.2,65.3,11.3,5.2,56.8,43.2,-666666666,9.3,47.5,1938,49.2,50.8,1625,67.0,1.4,55.8,55.1,39.9,2024,51.6,2.1,0.0,85.3
