GEOID,NAME,employment_rate_pct,unemployment_rate_pct,commute_drove_alone_pct,commute_public_transit_pct,commute_walked_pct,commute_wfh_pct,mean_commute_time_min,median_household_income,mean_household_income,per_capita_income,hh_income_under_10k_pct,hh_income_10k_15k_pct,hh_income_15k_25k_pct,hh_income_25k_35k_pct,hh_income_35k_50k_pct,hh_income_50k_75k_pct,hh_income_75k_100k_pct,hh_income_100k_150k_pct,hh_income_150k_200k_pct,hh_income_200k_plus_pct,poverty_rate_pct,snap_benefits_pct,no_health_insurance_pct,hh_no_vehicle_pct,hh_1_vehicle_pct,hh_2_vehicles_pct,hh_3plus_vehicles_pct,owner_occupied_pct,renter_occupied_pct,median_gross_rent,rent_burden_30pct_plus,rent_burden_50pct_plus,total_housing_units,occupied_units_pct,vacant_units_pct,total_population,median_age,under_18_pct,age_65_plus_pct,hispanic_latino_pct,white_alone_nh_pct,black_alone_nh_pct,asian_alone_or_combo_pct,white_alone_pct,black_alone_pct,two_or_more_races_pct,foreign_born_pct,majority_group,income_quintile,race_majority,poverty_high,novehicle_high,income_low,transit_dependent_vulnerable
12086000107,Census Tract 1.07; Miami-Dade County; Florida,60.1,3.8,61.6,3.3,0.0,25.7,26.7,53281.0,114816.0,54784.0,13.3,3.6,14.8,11.4,5.4,12.5,8.3,10.6,5.9,14.2,16.9,5.6,13.4,18.9,48.5,23.9,8.6,37.1,62.9,2094.0,6.6,67.9,2509,55.8,44.2,2950.0,48.3,16.7,23.4,37.8,52.4,1.6,4.7,66.3,1.6,22.7,0.0,Majority White,Q2,White-Majority,False,True,False,False
12086000109,Census Tract 1.09; Miami-Dade County; Florida,65.5,1.3,65.3,9.0,2.7,11.0,28.0,59577.0,76117.0,31513.0,0.8,11.4,9.3,4.5,10.3,23.0,15.4,14.8,4.5,6.1,17.8,22.7,22.9,7.0,51.8,35.9,5.3,22.2,77.8,1712.0,14.5,51.8,1788,82.6,17.4,3715.0,32.3,19.6,9.9,56.3,26.2,11.3,4.3,44.7,11.3,30.3,0.0,Mixed,Q2,Mixed,False,False,False,False
12086000115,Census Tract 1.15; Miami-Dade County; Florida,52.8,8.7,63.9,1.0,0.6,14.2,29.1,104427.0,220216.0,94396.0,0.8,4.9,3.5,6.5,13.4,13.0,4.1,17.1,4.8,31.9,6.2,5.3,8.5,10.5,45.2,25.4,19.0,67.2,32.8,2139.0,0.0,52.5,2351,32.0,68.0,1821.0,45.3,17.4,21.7,41.8,52.4,1.5,0.6,76.7,1.5,20.2,0.1,Majority White,Q5 (Highest),White-Majority,False,False,False,False
12086000118,Census Tract 1.18; Miami-Dade County; Florida,43.3,4.6,47.3,6.2,4.1,34.4,33.6,103309.0,205299.0,89072.0,7.1,4.0,0.0,7.8,2.9,20.4,6.4,15.4,6.7,29.2,5.5,0.0,17.6,14.5,58.2,22.3,5.0,80.0,20.0,2750.0,0.0,46.8,1757,24.0,76.0,998.0,56.4,8.3,37.0,28.0,62.8,1.7,1.6,66.6,1.7,25.6,1.5,Majority White,Q5 (Highest),White-Majority,False,True,False,False
12086000120,Census Tract 1.20; Miami-Dade County; Florida,57.3,8.5,59.8,0.8,1.0,28.5,31.3,73667.0,122848.0,59310.0,4.2,1.1,4.8,10.9,11.8,19.4,15.4,16.4,3.4,12.7,11.7,4.2,12.3,9.6,45.6,33.9,11.0,74.2,25.8,1748.0,5.8,62.4,2101,91.4,8.6,4024.0,43.3,15.3,16.2,46.4,42.3,5.8,2.8,62.6,6.0,22.4,0.3,Mixed,Q3,Mixed,False,False,False,False
12086000121,Census Tract 1.21; Miami-Dade County; Florida,45.9,3.2,57.5,0.0,1.6,25.9,27.4,84977.0,127274.0,59956.0,9.3,4.5,4.5,9.7,2.1,10.5,20.3,13.4,6.4,19.4,13.1,1.7,7.9,1.9,63.1,30.9,4.1,67.8,32.2,2242.0,2.9,65.9,1546,56.6,43.4,1856.0,51.2,20.0,37.2,42.2,46.7,3.7,5.2,60.0,3.7,29.7,0.0,Mixed,Q4,Mixed,False,False,False,False
12086000122,Census Tract 1.22; Miami-Dade County; Florida,59.8,1.1,57.3,0.7,0.0,27.5,31.5,99469.0,155590.0,75879.0,0.7,0.0,3.7,2.3,8.8,21.0,14.7,10.4,18.0,20.2,1.7,4.6,2.2,7.0,51.8,31.8,9.4,74.1,25.9,2281.0,0.0,55.8,2936,61.0,39.0,3737.0,54.1,13.1,31.3,52.0,44.5,1.0,2.8,70.9,1.0,22.7,0.0,Mixed,Q5 (Highest),Mixed,False,False,False,False
12086000123,Census Tract 1.23; Miami-Dade County; Florida,44.0,3.0,53.6,3.6,5.7,30.0,25.0,64348.0,133848.0,63744.0,14.5,4.1,3.2,7.4,11.8,12.5,11.5,9.7,11.3,13.9,14.7,3.3,7.3,3.7,61.1,29.7,5.6,70.0,30.0,1683.0,22.1,50.8,4012,47.8,52.2,4050.0,51.3,16.8,30.8,39.3,56.7,0.0,0.9,65.3,1.4,30.6,1.2,Majority White,Q3,White-Majority,False,False,False,False
12086000124,Census Tract 1.24; Miami-Dade County; Florida,54.6,7.0,73.0,7.3,6.7,6.3,31.4,48929.0,56730.0,23883.0,3.8,4.3,16.8,14.3,11.8,27.4,15.9,2.9,1.6,1.2,11.8,38.8,24.1,12.5,66.9,17.1,3.4,32.1,67.9,1482.0,11.3,53.4,1378,89.1,10.9,3188.0,39.0,17.5,15.0,40.4,14.1,41.9,0.4,33.2,41.9,17.4,0.4,Mixed,Q2,Mixed,False,True,True,False
12086000125,Census Tract 1.25; Miami-Dade County; Florida,54.1,6.2,62.4,3.5,5.7,14.3,39.5,53281.0,69904.0,29510.0,18.3,1.9,5.2,4.6,14.5,22.4,10.7,11.6,6.8,3.9,12.7,4.9,13.3,11.1,58.9,27.9,2.1,52.2,47.8,2528.0,3.7,67.7,2873,65.2,34.8,4491.0,44.2,23.1,22.9,41.0,50.0,0.8,4.7,71.7,0.8,25.4,0.0,Mixed,Q2,Mixed,False,False,False,False
12086000126,Census Tract 1.26; Miami-Dade County; Florida,43.1,1.7,68.6,7.7,4.6,13.4,25.5,36287.0,100976.0,58655.0,17.6,8.0,17.3,5.5,18.7,16.9,4.8,3.6,0.0,7.7,23.8,12.6,1.7,15.6,67.3,13.1,3.9,51.4,48.6,1447.0,7.1,61.8,1940,53.8,46.2,1804.0,62.6,5.9,47.3,56.6,38.5,1.2,4.7,65.7,1.2,27.9,0.0,Mixed,Q1 (Lowest),Mixed,True,True,True,True
12086000127,Census Tract 1.27; Miami-Dade County; Florida,62.4,2.0,58.1,3.5,0.5,17.5,33.6,49805.0,91240.0,43488.0,6.0,6.8,17.2,4.1,16.2,14.4,4.6,8.3,10.9,11.5,18.0,8.6,17.0,7.6,60.5,28.3,3.5,76.2,23.8,1710.0,13.2,42.0,1905,80.7,19.3,3275.0,49.5,19.0,24.1,44.3,49.1,2.4,1.6,62.1,2.4,30.0,1.2,Mixed,Q2,Mixed,False,False,True,False
12086000128,Census Tract 1.28; Miami-Dade County; Florida,74.0,3.1,50.5,5.0,0.5,24.0,36.1,80551.0,117938.0,55549.0,4.2,2.1,1.8,5.3,7.3,27.9,11.0,23.1,4.9,12.3,8.7,3.0,9.0,6.6,56.8,31.9,4.7,54.5,45.5,2104.0,18.1,46.8,2702,71.0,29.0,4046.0,47.0,17.1,12.6,55.0,21.9,17.3,7.9,51.6,19.3,23.0,1.5,Mixed,Q4,Mixed,False,False,False,False
12086000129,Census Tract 1.29; Miami-Dade County; Florida,43.8,4.5,67.8,0.0,0.0,24.9,37.1,155764.0,236646.0,121556.0,1.0,0.7,4.1,3.3,12.0,9.0,7.6,10.8,18.4,33.2,2.1,1.8,3.5,5.9,49.2,38.0,6.8,82.9,17.1,3501.0,0.0,75.2,2033,48.2,51.8,2006.0,65.9,9.4,52.2,26.6,65.5,0.0,1.3,69.8,0.0,19.3,5.7,Majority White,Q5 (Highest),White-Majority,False,False,False,False
12086000130,Census Tract 1.30; Miami-Dade County; Florida,48.4,2.1,72.1,0.0,1.2,21.2,33.6,91818.0,206102.0,98760.0,3.4,8.9,9.1,3.8,14.6,3.9,11.9,11.7,4.7,27.9,9.8,3.6,4.5,3.7,58.1,36.5,1.7,73.3,26.7,2669.0,13.4,46.6,2972,51.3,48.7,3221.0,57.6,12.6,36.0,50.7,45.6,0.0,2.3,68.2,0.0,29.1,0.0,Mixed,Q4,Mixed,False,False,False,False
12086000131,Census Tract 1.31; Miami-Dade County; Florida,58.3,4.3,64.8,1.0,0.8,29.8,28.1,80814.0,136740.0,60492.0,6.8,0.7,8.0,6.8,6.4,17.7,13.4,10.9,8.5,20.7,13.4,2.7,6.1,2.6,60.3,28.5,8.6,59.3,40.7,2568.0,5.4,61.6,3015,66.4,33.6,4604.0,43.5,23.5,20.4,35.1,57.7,1.2,0.1,77.5,1.2,16.1,1.5,Majority White,Q4,White-Majority,False,False,False,False
12086000132,Census Tract 1.32; Miami-Dade County; Florida,46.0,3.9,67.1,0.0,4.3,15.2,41.3,48553.0,72004.0,36573.0,11.1,5.6,13.5,9.1,11.0,13.8,10.9,10.4,9.5,5.1,17.5,10.3,14.2,14.5,58.9,20.2,6.4,66.3,33.7,2191.0,11.7,52.6,3593,79.2,20.8,5538.0,52.7,12.5,31.7,51.6,40.9,2.8,2.4,62.0,2.8,27.6,0.8,Mixed,Q2,Mixed,False,True,True,False
12086000134,Census Tract 1.34; Miami-Dade County; Florida,53.7,1.6,68.9,6.7,3.1,18.4,26.1,47528.0,67701.0,31837.0,4.4,2.9,21.5,11.9,12.5,9.0,17.7,13.4,3.2,3.5,19.5,14.4,24.9,12.7,56.7,23.4,7.2,58.3,41.7,1705.0,13.1,63.8,1931,70.3,29.7,2952.0,49.6,16.2,22.4,45.7,40.9,9.4,2.5,55.7,9.4,25.9,1.1,Mixed,Q1 (Lowest),Mixed,False,True,True,False
12086000140,Census Tract 1.40; Miami-Dade County; Florida,75.0,6.7,74.6,0.9,4.8,14.8,40.8,78140.0,92182.0,42115.0,6.1,5.9,3.7,5.4,12.7,13.6,14.7,20.5,10.5,7.0,12.0,9.8,7.3,3.8,73.7,21.7,0.8,23.1,76.9,1868.0,9.7,47.2,2010,77.0,23.0,3404.0,36.5,19.6,5.4,66.0,24.7,1.7,6.6,42.4,1.7,43.8,0.3,Majority Hispanic,Q4,Hispanic-Majority,False,False,False,False
12086000141,Census Tract 1.41; Miami-Dade County; Florida,70.2,2.9,56.9,3.4,3.4,34.0,28.6,93750.0,148392.0,62687.0,4.0,0.0,4.1,2.3,17.8,11.1,11.8,17.0,8.6,23.4,13.4,9.8,11.5,3.8,44.2,47.1,4.9,28.7,71.3,2694.0,16.6,45.0,1315,66.6,33.4,2105.0,35.7,27.1,6.0,43.7,51.5,0.0,0.6,66.7,0.0,26.2,0.0,Majority White,Q4,White-Majority,False,False,False,False
