GEOID,NAME,employment_rate_pct,unemployment_rate_pct,commute_drove_alone_pct,commute_public_transit_pct,commute_walked_pct,commute_wfh_pct,mean_commute_time_min,median_household_income,mean_household_income,per_capita_income,hh_income_under_10k_pct,hh_income_10k_15k_pct,hh_income_15k_25k_pct,hh_income_25k_35k_pct,hh_income_35k_50k_pct,hh_income_50k_75k_pct,hh_income_75k_100k_pct,hh_income_100k_150k_pct,hh_income_150k_200k_pct,hh_income_200k_plus_pct,poverty_rate_pct,snap_benefits_pct,no_health_insurance_pct
12086000107,Census Tract 1.07; Miami-Dade County; Florida,60.1,3.8,61.6,3.3,0.0,25.7,26.7,53281,114816,54784,13.3,3.6,14.8,11.4,5.4,12.5,8.3,10.6,5.9,14.2,16.9,5.6,13.4
12086000109,Census Tract 1.09; Miami-Dade County; Florida,65.5,1.3,65.3,9.0,2.7,11.0,28.0,59577,76117,31513,0.8,11.4,9.3,4.5,10.3,23.0,15.4,14.8,4.5,6.1,17.8,22.7,22.9
12086000115,Census Tract 1.15; Miami-Dade County; Florida,52.8,8.7,63.9,1.0,0.6,14.2,29.1,104427,220216,94396,0.8,4.9,3.5,6.5,13.4,13.0,4.1,17.1,4.8,31.9,6.2,5.3,8.5
12086000118,Census Tract 1.18; Miami-Dade County; Florida,43.3,4.6,47.3,6.2,4.1,34.4,33.6,103309,205299,89072,7.1,4.0,0.0,7.8,2.9,20.4,6.4,15.4,6.7,29.2,5.5,0.0,17.6
12086000120,Census Tract 1.20; Miami-Dade County; Florida,57.3,8.5,59.8,0.8,1.0,28.5,31.3,73667,122848,59310,4.2,1.1,4.8,10.9,11.8,19.4,15.4,16.4,3.4,12.7,11.7,4.2,12.3
12086000121,Census Tract 1.21; Miami-Dade County; Florida,45.9,3.2,57.5,0.0,1.6,25.9,27.4,84977,127274,59956,9.3,4.5,4.5,9.7,2.1,10.5,20.3,13.4,6.4,19.4,13.1,1.7,7.9
12086000122,Census Tract 1.22; Miami-Dade County; Florida,59.8,1.1,57.3,0.7,0.0,27.5,31.5,99469,155590,75879,0.7,0.0,3.7,2.3,8.8,21.0,14.7,10.4,18.0,20.2,1.7,4.6,2.2
12086000123,Census Tract 1.23; Miami-Dade County; Florida,44.0,3.0,53.6,3.6,5.7,30.0,25.0,64348,133848,63744,14.5,4.1,3.2,7.4,11.8,12.5,11.5,9.7,11.3,13.9,14.7,3.3,7.3
12086000124,Census Tract 1.24; Miami-Dade County; Florida,54.6,7.0,73.0,7.3,6.7,6.3,31.4,48929,56730,23883,3.8,4.3,16.8,14.3,11.8,27.4,15.9,2.9,1.6,1.2,11.8,38.8,24.1
12086000125,Census Tract 1.25; Miami-Dade County; Florida,54.1,6.2,62.4,3.5,5.7,14.3,39.5,53281,69904,29510,18.3,1.9,5.2,4.6,14.5,22.4,10.7,11.6,6.8,3.9,12.7,4.9,13.3
12086000126,Census Tract 1.26; Miami-Dade County; Florida,43.1,1.7,68.6,7.7,4.6,13.4,25.5,36287,100976,58655,17.6,8.0,17.3,5.5,18.7,16.9,4.8,3.6,0.0,7.7,23.8,12.6,1.7
12086000127,Census Tract 1.27; Miami-Dade County; Florida,62.4,2.0,58.1,3.5,0.5,17.5,33.6,49805,91240,43488,6.0,6.8,17.2,4.1,16.2,14.4,4.6,8.3,10.9,11.5,18.0,8.6,17.0
12086000128,Census Tract 1.28; Miami-Dade County; Florida,74.0,3.1,50.5,5.0,0.5,24.0,36.1,80551,117938,55549,4.2,2.1,1.8,5.3,7.3,27.9,11.0,23.1,4.9,12.3,8.7,3.0,9.0
12086000129,Census Tract 1.29; Miami-Dade County; Florida,43.8,4.5,67.8,0.0,0.0,24.9,37.1,155764,236646,121556,1.0,0.7,4.1,3.3,12.0,9.0,7.6,10.8,18.4,33.2,2.1,1.8,3.5
12086000130,Census Tract 1.30; Miami-Dade County; Florida,48.4,2.1,72.1,0.0,1.2,21.2,33.6,91818,206102,98760,3.4,8.9,9.1,3.8,14.6,3.9,11.9,11.7,4.7,27.9,9.8,3.6,4.5
