GEOID,NAME,hh_no_vehicle_pct,hh_1_vehicle_pct,hh_2_vehicles_pct,hh_3plus_vehicles_pct,owner_occupied_pct,renter_occupied_pct,median_gross_rent,rent_burden_30pct_plus,rent_burden_50pct_plus,total_housing_units,occupied_units_pct,vacant_units_pct
12086000107,Census Tract 1.07; Miami-Dade County; Florida,18.9,48.5,23.9,8.6,37.1,62.9,2094,6.6,67.9,2509,55.8,44.2
12086000109,Census Tract 1.09; Miami-Dade County; Florida,7.0,51.8,35.9,5.3,22.2,77.8,1712,14.5,51.8,1788,82.6,17.4
12086000115,Census Tract 1.15; Miami-Dade County; Florida,10.5,45.2,25.4,19.0,67.2,32.8,2139,0.0,52.5,2351,32.0,68.0
12086000118,Census Tract 1.18; Miami-Dade County; Florida,14.5,58.2,22.3,5.0,80.0,20.0,2750,0.0,46.8,1757,24.0,76.0
12086000120,Census Tract 1.20; Miami-Dade County; Florida,9.6,45.6,33.9,11.0,74.2,25.8,1748,5.8,62.4,2101,91.4,8.6
12086000121,Census Tract 1.21; Miami-Dade County; Florida,1.9,63.1,30.9,4.1,67.8,32.2,2242,2.9,65.9,1546,56.6,43.4
12086000122,Census Tract 1.22; Miami-Dade County; Florida,7.0,51.8,31.8,9.4,74.1,25.9,2281,0.0,55.8,2936,61.0,39.0
12086000123,Census Tract 1.23; Miami-Dade County; Florida,3.7,61.1,29.7,5.6,70.0,30.0,1683,22.1,50.8,4012,47.8,52.2
12086000124,Census Tract 1.24; Miami-Dade County; Florida,12.5,66.9,17.1,3.4,32.1,67.9,1482,11.3,53.4,1378,89.1,10.9
12086000125,Census Tract 1.25; Miami-Dade County; Florida,11.1,58.9,27.9,2.1,52.2,47.8,2528,3.7,67.7,2873,65.2,34.8
12086000126,Census Tract 1.26; Miami-Dade County; Florida,15.6,67.3,13.1,3.9,51.4,48.6,1447,7.1,61.8,1940,53.8,46.2
12086000127,Census Tract 1.27; Miami-Dade County; Florida,7.6,60.5,28.3,3.5,76.2,23.8,1710,13.2,42.0,1905,80.7,19.3
12086000128,Census Tract 1.28; Miami-Dade County; Florida,6.6,56.8,31.9,4.7,54.5,45.5,2104,18.1,46.8,2702,71.0,29.0
12086000129,Census Tract 1.29; Miami-Dade County; Florida,5.9,49.2,38.0,6.8,82.9,17.1,3501,0.0,75.2,2033,48.2,51.8
12086000130,Census Tract 1.30; Miami-Dade County; Florida,3.7,58.1,36.5,1.7,73.3,26.7,2669,13.4,46.6,2972,51.3,48.7
12086000131,Census Tract 1.31; Miami-Dade County; Florida,2.6,60.3,28.5,8.6,59.3,40.7,2568,5.4,61.6,3015,66.4,33.6
12086000132,Census Tract 1.32; Miami-Dade County; Florida,14.5,58.9,20.2,6.4,66.3,33.7,2191,11.7,52.6,3593,79.2,20.8
12086000134,Census Tract 1.34; Miami-Dade County; Florida,12.7,56.7,23.4,7.2,58.3,41.7,1705,13.1,63.8,1931,70.3,29.7
12086000140,Census Tract 1.40; Miami-Dade County; Florida,3.8,73.7,21.7,0.8,23.1,76.9,1868,9.7,47.2,2010,77.0,23.0
12086000141,Census Tract 1.41; Miami-Dade County; Florida,3.8,44.2,47.1,4.9,28.7,71.3,2694,16.6,45.0,1315,66.6,33.4
12086000142,Census Tract 1.42; Miami-Dade County; Florida,9.7,48.3,39.1,2.9,65.0,35.0,3105,0.0,78.1,3984,53.9,46.1
12086000143,Census Tract 1.43; Miami-Dade County; Florida,15.3,47.2,34.4,3.2,57.9,42.1,2169,1.8,57.1,2143,74.0,26.0
12086000144,Census Tract 1.44; Miami-Dade County; Florida,3.2,62.5,34.3,0.0,42.0,58.0,3101,8.5,57.4,845,63.1,36.9
12086000145,Census Tract 1.45; Miami-Dade County; Florida,1.7,17.6,67.3,13.3,91.9,8.1,1176,8.3,20.8,1024,86.3,13.7
12086000146,Census Tract 1.46; Miami-Dade County; Florida,1.3,50.7,33.6,14.5,66.8,33.2,2740,3.8,62.9,2649,65.7,34.3
12086000204,Census Tract 2.04; Miami-Dade County; Florida,5.5,22.7,42.4,29.4,75.4,24.6,1606,0.0,65.0,1279,93.0,7.0
12086000206,Census Tract 2.06; Miami-Dade County; Florida,14.5,37.4,37.5,10.6,54.0,46.0,1528,9.5,72.4,2108,93.1,6.9
12086000211,Census Tract 2.11; Miami-Dade County; Florida,10.0,32.3,31.6,26.1,56.9,43.1,2082,4.5,77.8,1121,84.1,15.9
12086000212,Census Tract 2.12; Miami-Dade County; Florida,15.0,52.0,23.6,9.4,14.9,85.1,1347,3.7,55.5,2232,86.7,13.3
12086000213,Census Tract 2.13; Miami-Dade County; Florida,7.2,50.5,24.8,17.4,50.2,49.8,1728,11.2,48.1,1804,91.9,8.1
12086000215,Census Tract 2.15; Miami-Dade County; Florida,10.4,42.6,24.2,22.8,43.1,56.9,1648,8.1,73.4,1756,96.0,4.0
12086000216,Census Tract 2.16; Miami-Dade County; Florida,12.7,28.3,40.6,18.4,70.2,29.8,1740,9.8,69.6,1357,93.5,6.5
12086000218,Census Tract 2.18; Miami-Dade County; Florida,9.0,48.1,30.3,12.7,68.1,31.9,1346,8.7,61.3,1031,94.9,5.1
12086000219,Census Tract 2.19; Miami-Dade County; Florida,11.7,51.1,32.0,5.2,16.4,83.6,1394,5.3,58.4,1742,87.5,12.5
12086000220,Census Tract 2.20; Miami-Dade County; Florida,6.4,56.0,23.0,14.5,31.6,68.4,1519,1.3,90.1,1802,94.1,5.9
12086000221,Census Tract 2.21; Miami-Dade County; Florida,0.0,51.3,33.6,15.1,51.4,48.6,1768,12.2,56.6,710,87.6,12.4
12086000222,Census Tract 2.22; Miami-Dade County; Florida,6.2,36.2,40.3,17.3,72.2,27.8,1431,37.8,49.5,1506,91.6,8.4
12086000223,Census Tract 2.23; Miami-Dade County; Florida,5.4,42.9,33.9,17.9,40.4,59.6,1661,0.0,94.1,1100,93.2,6.8
12086000224,Census Tract 2.24; Miami-Dade County; Florida,20.9,41.6,27.8,9.7,9.9,90.1,1479,2.3,63.1,1880,98.0,2.0
12086000225,Census Tract 2.25; Miami-Dade County; Florida,6.1,70.6,21.9,1.5,18.7,81.3,1490,1.0,59.3,2123,90.3,9.7
12086000226,Census Tract 2.26; Miami-Dade County; Florida,18.9,48.9,28.6,3.6,91.7,8.3,2644,0.0,84.4,1061,73.8,26.2
12086000227,Census Tract 2.27; Miami-Dade County; Florida,21.2,31.3,26.8,20.7,53.0,47.0,1342,9.7,55.4,876,97.5,2.5
12086000228,Census Tract 2.28; Miami-Dade County; Florida,4.1,51.7,28.8,15.5,31.0,69.0,1523,7.9,68.6,1133,95.7,4.3
12086000302,Census Tract 3.02; Miami-Dade County; Florida,4.9,21.5,46.4,27.2,84.8,15.2,2608,0.0,96.8,729,84.8,15.2
12086000306,Census Tract 3.06; Miami-Dade County; Florida,17.6,47.1,17.6,17.8,26.6,73.4,1396,6.9,59.7,1988,88.2,11.8
12086000307,Census Tract 3.07; Miami-Dade County; Florida,7.2,32.5,42.8,17.5,78.9,21.1,1782,0.0,82.8,1207,95.6,4.4
12086000308,Census Tract 3.08; Miami-Dade County; Florida,4.5,21.5,44.8,29.2,87.2,12.8,2038,0.0,48.5,1356,93.1,6.9
12086000309,Census Tract 3.09; Miami-Dade County; Florida,9.4,42.3,38.5,9.7,22.5,77.5,1485,6.3,54.6,1252,90.2,9.8
12086000310,Census Tract 3.10; Miami-Dade County; Florida,15.5,34.9,43.1,6.4,61.2,38.8,1641,0.0,87.3,1352,94.5,5.5
