GEOID,NAME,total_population,median_age,under_18_pct,age_65_plus_pct,hispanic_latino_pct,white_alone_nh_pct,black_alone_nh_pct,asian_alone_or_combo_pct,white_alone_pct,black_alone_pct,two_or_more_races_pct,foreign_born_pct
12086000107,Census Tract 1.07; Miami-Dade County; Florida,2950.0,48.3,16.7,23.4,37.8,52.4,1.6,4.7,66.3,1.6,22.7,0.0
12086000109,Census Tract 1.09; Miami-Dade County; Florida,3715.0,32.3,19.6,9.9,56.3,26.2,11.3,4.3,44.7,11.3,30.3,0.0
12086000115,Census Tract 1.15; Miami-Dade County; Florida,1821.0,45.3,17.4,21.7,41.8,52.4,1.5,0.6,76.7,1.5,20.2,0.1
12086000118,Census Tract 1.18; Miami-Dade County; Florida,998.0,56.4,8.3,37.0,28.0,62.8,1.7,1.6,66.6,1.7,25.6,1.5
12086000120,Census Tract 1.20; Miami-Dade County; Florida,4024.0,43.3,15.3,16.2,46.4,42.3,5.8,2.8,62.6,6.0,22.4,0.3
12086000121,Census Tract 1.21; Miami-Dade County; Florida,1856.0,51.2,20.0,37.2,42.2,46.7,3.7,5.2,60.0,3.7,29.7,0.0
12086000122,Census Tract 1.22; Miami-Dade County; Florida,3737.0,54.1,13.1,31.3,52.0,44.5,1.0,2.8,70.9,1.0,22.7,0.0
12086000123,Census Tract 1.23; Miami-Dade County; Florida,4050.0,51.3,16.8,30.8,39.3,56.7,0.0,0.9,65.3,1.4,30.6,1.2
12086000124,Census Tract 1.24; Miami-Dade County; Florida,3188.0,39.0,17.5,15.0,40.4,14.1,41.9,0.4,33.2,41.9,17.4,0.4
12086000125,Census Tract 1.25; Miami-Dade County; Florida,4491.0,44.2,23.1,22.9,41.0,50.0,0.8,4.7,71.7,0.8,25.4,0.0
12086000126,Census Tract 1.26; Miami-Dade County; Florida,1804.0,62.6,5.9,47.3,56.6,38.5,1.2,4.7,65.7,1.2,27.9,0.0
