tract_geoid,current_tier,current_score,predicted_current,predicted_2yr,predicted_3yr,projected_tier_2yr,projected_tier_3yr,score_change_3yr,score_change_pct,current_rank,projected_rank_3yr,tier_worsened,fragile
12086000107,Moderate,0.1187797921547306,0.116244905,0.12989411,0.13584195,High,High,0.019597046,16.858412,1,2,True,True
12086000126,Moderate,0.1200994038421363,0.123637974,0.13969561,0.13661735,High,High,0.012979373,10.497886,1,2,True,True
12086000204,Moderate,0.1241906410166592,0.12892573,0.15261267,0.15556677,High,High,0.026641041,20.663868,1,2,True,True
12086000211,Moderate,0.1188890765176377,0.11814228,0.1294184,0.14060551,High,High,0.022463232,19.013712,1,2,True,True
12086000226,High,0.1372372649156435,0.14168508,0.17069155,0.16981924,Critical,Critical,0.028134152,19.85682,2,3,True,True
12086000712,High,0.1570142783799537,0.15534212,0.16496941,0.17277342,Critical,Critical,0.017431304,11.221235,2,3,True,True
12086002800,High,0.1430650541883407,0.15825123,0.17340055,0.17488946,Critical,Critical,0.016638234,10.513811,2,3,True,True
12086002900,Moderate,0.1224448258766545,0.121294275,0.12796146,0.16307692,High,Critical,0.041782647,34.447334,1,3,True,True
12086003001,Moderate,0.0938241184193237,0.086572625,0.1239671,0.12964319,Moderate,High,0.043070562,49.750786,1,2,True,True
12086003605,Moderate,0.1123613966526053,0.114197694,0.15058935,0.15150985,High,High,0.037312157,32.6733,1,2,True,True
12086003803,Moderate,0.10997315220134,0.10851171,0.1275126,0.15015793,High,High,0.04164622,38.37947,1,2,True,True
12086004105,Moderate,0.0920669603157779,0.09856461,0.11564422,0.13204464,Moderate,High,0.033480033,33.9676,1,2,True,True
12086004204,Moderate,0.1032340947152348,0.109529294,0.12608214,0.12945561,High,High,0.019926317,18.192682,1,2,True,True
12086004206,Moderate,0.1042302380580018,0.11413445,0.1559484,0.1546712,High,High,0.040536754,35.516666,1,2,True,True
12086005305,High,0.1352345577869119,0.14259386,0.14475389,0.1614437,High,Critical,0.018849835,13.219248,2,3,True,True
12086007708,Moderate,0.095990641147707,0.10196964,0.12344033,0.12791216,Moderate,High,0.025942527,25.441423,1,2,True,True
12086008423,Moderate,0.0954945871359141,0.098446324,0.12225407,0.12708494,Moderate,High,0.028638616,29.09059,1,2,True,True
12086009015,Moderate,0.1050307988359175,0.10859303,0.13316302,0.14157605,High,High,0.03298302,30.373055,1,2,True,True
12086009039,Moderate,0.1188777075203682,0.11109123,0.14298756,0.14356916,High,High,0.03247793,29.235369,1,2,True,True
12086010624,Moderate,0.0994388950814898,0.10954203,0.1359114,0.15290423,High,High,0.0433622,39.584988,1,2,True,True
12086010618,Moderate,0.122304757706003,0.11813286,0.13024913,0.13102902,High,High,0.012896165,10.916662,1,2,True,True
12086012403,High,0.1297540353101632,0.12741545,0.17836572,0.18815783,Critical,Critical,0.06074238,47.672695,2,3,True,True
12086014100,High,0.1278722142889158,0.13682073,0.17957424,0.17957424,Critical,Critical,0.042753503,31.247824,2,3,True,True
12086014400,High,0.152950471722072,0.14258875,0.1763301,0.17725722,Critical,Critical,0.034668475,24.313612,2,3,True,True
12086016800,Moderate,0.1174113504015715,0.113836266,0.12459173,0.12991776,Moderate,High,0.01608149,14.12686,1,2,True,True
12086017700,Moderate,0.1204264384426561,0.11782284,0.12963806,0.13724202,High,High,0.019419178,16.481676,1,2,True,True
12086018003,Moderate,0.11973748802521,0.115844935,0.13433997,0.15460037,High,High,0.03875543,33.454575,1,2,True,True
12086018601,High,0.1401733793719715,0.14755554,0.1913196,0.19885148,Critical,Critical,0.051295936,34.763817,2,3,True,True
12086018700,Moderate,0.1058362203486279,0.113834605,0.12133292,0.12670754,Moderate,High,0.012872934,11.3084545,1,2,True,True
12086019801,Moderate,0.1120853067083523,0.106762305,0.12284398,0.12842727,Moderate,High,0.021664962,20.292707,1,2,True,True
12086020100,High,0.1472376610388334,0.14058952,0.15965454,0.16636619,Critical,Critical,0.02577667,18.334702,2,3,True,True
