feature,ridge_coefficient,abs_coefficient
poverty_rate_pct,0.019197161465084496,0.019197161465084496
transit_jobs_30_mean,-0.015658833851068747,0.015658833851068747
snap_benefits_pct,0.013551244639002731,0.013551244639002731
rent_burden_50pct_plus,0.01134867054563177,0.01134867054563177
hh_no_vehicle_pct,0.005641506861651333,0.005641506861651333
poverty_x_low_span,0.005347941368260828,0.005347941368260828
unemployment_rate_pct,0.005209261598085096,0.005209261598085096
route_count,-0.003058116148294817,0.003058116148294817
novehicle_x_low_service,-0.0028550739382819227,0.0028550739382819227
wheelchair_pct,-0.002733749091278617,0.002733749091278617
stop_count,-0.002326300950693241,0.002326300950693241
trend_hh_no_vehicle_pct,0.0019492978688540029,0.0019492978688540029
n_neighbors,0.001503445947638907,0.001503445947638907
trend_unemployment_rate_pct,-0.0014976710049618102,0.0014976710049618102
trend_age_65_plus_pct,0.001360890230042193,0.001360890230042193
headway_early_min,-0.0012761591119321248,0.0012761591119321248
trend_total_population,0.0011083752221531609,0.0011083752221531609
trend_foreign_born_pct,-0.0010089392412130221,0.0010089392412130221
rising_poverty_x_current,-0.0010084945124079312,0.0010084945124079312
trend_hispanic_latino_pct,0.0008764611828579283,0.0008764611828579283
trend_renter_occupied_pct,0.0007878361485728897,0.0007878361485728897
trend_no_health_insurance_pct,0.0005968662307690332,0.0005968662307690332
trend_per_capita_income,0.0005933022336274734,0.0005933022336274734
trend_snap_benefits_pct,-0.0004603923657562782,0.0004603923657562782
trend_rent_burden_30pct_plus,-0.00039267876262928864,0.00039267876262928864
trend_black_alone_pct,-0.00035467201516022816,0.00035467201516022816
trend_white_alone_pct,0.00016357850654828303,0.00016357850654828303
rail_trip_share,0.00012989918164194072,0.00012989918164194072
