tract_geoid,current_tier,current_score,predicted_current,predicted_2yr,predicted_3yr,projected_tier_2yr,projected_tier_3yr,score_change_3yr,score_change_pct,current_rank,projected_rank_3yr,tier_worsened,fragile
12086000107,Moderate,0.1187797921547306,0.116244905,0.12989411,0.13584195,High,High,0.019597046,16.858412,1,2,True,True
12086000109,Moderate,0.1052782637963104,0.10301131,0.08654809,0.07813989,Low,Low,-0.024871416,-24.144354,1,0,False,False
12086000141,Low,0.0702057320201025,0.06832468,0.08116133,0.08791332,Low,Moderate,0.019588642,28.669935,0,1,True,False
12086000115,Low,0.0702436545259182,0.06349755,0.06852378,0.07461539,Low,Low,0.011117838,17.509083,0,0,False,False
12086000118,Low,0.0573104849699577,0.061838068,0.046562687,0.04476297,Low,Low,-0.017075099,-27.6126,0,0,False,False
12086000144,Low,0.0647825531349871,0.05800106,0.052859437,0.051405948,Low,Low,-0.0065951124,-11.370675,0,0,False,False
12086000120,Moderate,0.0901145076925001,0.08979301,0.10174299,0.11060531,Moderate,Moderate,0.020812295,23.17808,1,1,False,False
12086000121,Low,0.0736394773034342,0.08366935,0.115211695,0.13132732,Moderate,High,0.047657967,56.959885,0,2,True,False
12086000122,Low,0.0519319594144443,0.051694583,0.052511714,0.052147754,Low,Low,0.0004531704,0.8766303,0,0,False,False
12086000123,Low,0.0737995711299207,0.07786344,0.068365276,0.07259862,Low,Low,-0.0052648187,-6.7616053,0,0,False,False
12086000124,Moderate,0.1182807996552883,0.11671561,0.11162905,0.11031504,Moderate,Moderate,-0.0064005703,-5.4839025,1,1,False,False
12086000125,Moderate,0.104775897157115,0.103452794,0.09605049,0.09717682,Moderate,Moderate,-0.006275974,-6.06651,1,1,False,False
12086000126,Moderate,0.1200994038421363,0.123637974,0.13969561,0.13661735,High,High,0.012979373,10.497886,1,2,True,True
12086000127,Moderate,0.1021283546868589,0.09749017,0.09797671,0.096031636,Moderate,Moderate,-0.0014585331,-1.4960823,1,1,False,False
12086000128,Low,0.0556152019407659,0.053424824,0.06573946,0.079874374,Low,Low,0.02644955,49.50798,0,0,False,False
