GEOID,NAME,employment_rate_pct,unemployment_rate_pct,commute_drove_alone_pct,commute_public_transit_pct,commute_walked_pct,commute_wfh_pct,mean_commute_time_min,median_household_income,mean_household_income,per_capita_income,hh_income_under_10k_pct,hh_income_10k_15k_pct,hh_income_15k_25k_pct,hh_income_25k_35k_pct,hh_income_35k_50k_pct,hh_income_50k_75k_pct,hh_income_75k_100k_pct,hh_income_100k_150k_pct,hh_income_150k_200k_pct,hh_income_200k_plus_pct,poverty_rate_pct,snap_benefits_pct,no_health_insurance_pct,hh_no_vehicle_pct,hh_1_vehicle_pct,hh_2_vehicles_pct,hh_3plus_vehicles_pct,owner_occupied_pct,renter_occupied_pct,median_gross_rent,rent_burden_30pct_plus,rent_burden_50pct_plus,total_housing_units,occupied_units_pct,vacant_units_pct,total_population,median_age,under_18_pct,age_65_plus_pct,white_alone_pct,black_alone_pct,two_or_more_races_pct,asian_alone_pct,hispanic_latino_pct,foreign_born_pct,year
12086000107,"Census Tract 1.07, Miami-Dade County, Florida",61.2,1.9,67.4,1.9,2.4,23.8,28.2,53198,89874,47797,4.0,5.5,19.3,10.2,8.2,18.6,6.4,11.2,3.4,13.1,10.3,4.2,10.5,18.5,51.2,23.1,7.1,35.2,64.8,1801,5.3,63.1,2780,54.6,45.4,2898,52.6,15.0,22.6,82.5,1.4,10.8,1.3,52.0,4.1,2021
12086000109,"Census Tract 1.09, Miami-Dade County, Florida",64.2,5.8,79.7,7.5,1.5,2.9,29.6,48369,67488,27751,10.2,5.3,15.8,6.1,15.5,13.8,9.5,13.8,7.4,2.5,24.1,18.3,19.8,8.7,42.1,40.7,8.5,31.2,68.8,1381,16.8,52.1,1536,84.2,15.8,3315,39.4,19.3,6.8,57.1,10.0,22.8,1.8,62.7,0.9,2021
12086000115,"Census Tract 1.15, Miami-Dade County, Florida",54.6,8.3,75.3,3.1,0.2,15.1,31.6,78125,164698,71138,7.4,3.1,7.8,5.3,4.5,19.0,16.9,5.5,7.7,22.7,9.1,3.9,16.4,9.4,46.5,30.3,13.9,54.2,45.8,1806,4.6,46.8,2563,36.3,63.7,2185,43.9,17.7,20.8,88.7,2.6,7.2,0.4,42.8,2.0,2021
12086000118,"Census Tract 1.18, Miami-Dade County, Florida",40.3,5.2,59.1,0.0,3.0,33.3,26.0,63750,170184,69557,7.7,6.1,1.6,13.8,10.8,13.8,4.3,16.5,6.3,19.2,7.2,2.3,13.2,13.8,57.1,26.4,2.7,84.9,15.1,2398,0.0,26.5,1864,23.8,76.2,1110,54.2,16.5,32.0,69.9,2.1,22.1,1.2,35.8,6.6,2021
12086000120,"Census Tract 1.20, Miami-Dade County, Florida",64.4,7.5,77.2,0.8,0.0,15.2,27.1,70287,115120,53943,5.0,2.4,4.5,6.7,18.5,17.0,16.1,7.7,5.3,16.7,9.4,6.0,16.5,10.3,40.2,35.5,14.0,73.7,26.3,1546,6.9,49.0,2272,87.5,12.5,4352,43.9,16.4,13.1,78.1,4.8,12.6,1.3,54.7,2.0,2021
12086000121,"Census Tract 1.21, Miami-Dade County, Florida",42.4,3.0,71.7,0.0,5.8,17.4,27.6,118702,156675,65808,8.3,3.9,5.6,5.6,2.9,7.4,10.1,21.9,8.4,25.9,10.2,2.5,4.2,4.5,56.7,36.1,2.7,73.9,26.1,2214,13.9,17.5,1601,48.2,51.8,1826,51.5,26.6,35.2,79.4,3.5,9.9,6.3,22.1,1.5,2021
12086000122,"Census Tract 1.22, Miami-Dade County, Florida",57.7,0.0,61.2,0.0,0.0,21.7,30.6,84030,130171,63009,2.8,1.6,2.4,7.7,16.6,13.7,10.5,14.2,16.6,13.8,5.1,3.7,5.3,4.9,50.3,34.2,10.6,72.2,27.8,1948,7.2,73.6,3202,63.4,36.6,4317,54.1,14.6,25.3,79.0,1.1,12.6,1.5,49.1,2.5,2021
12086000123,"Census Tract 1.23, Miami-Dade County, Florida",44.0,2.7,67.8,0.8,0.0,12.3,28.3,49761,105661,50472,21.5,2.9,11.4,6.4,8.0,6.3,6.9,17.9,3.4,15.3,22.2,5.6,6.5,5.0,57.3,27.9,9.8,70.6,29.4,1766,5.7,50.2,4519,42.1,57.9,4037,52.7,15.6,33.7,82.0,1.2,15.4,0.9,43.6,0.6,2021
12086000124,"Census Tract 1.24, Miami-Dade County, Florida",56.6,6.3,71.1,13.6,4.2,4.5,32.8,40777,52953,21595,4.4,12.2,9.4,16.6,19.2,22.9,10.7,3.1,0.0,1.5,10.0,38.3,26.2,15.1,54.2,18.9,11.9,36.4,63.6,1219,10.1,49.7,1385,89.5,10.5,3403,38.5,11.9,15.4,46.5,36.6,10.2,0.4,46.9,3.0,2021
12086000125,"Census Tract 1.25, Miami-Dade County, Florida",54.3,1.2,68.7,3.1,5.0,8.7,39.9,45239,62431,29685,24.3,2.2,4.0,7.6,16.9,13.4,8.5,17.4,1.9,3.7,16.9,3.1,7.9,8.5,68.9,19.2,3.4,62.8,37.2,2002,8.2,54.1,3391,61.7,38.3,4511,42.8,25.8,25.9,81.9,2.0,13.6,1.6,38.9,5.0,2021
