GEOID,route_id,n_stops,best_headway_min,total_trips,route_short_name,route_long_name,route_type
12086000107,28811,5,120.0,5,SUNNYBL,City of Sunny Isles Beach Blue Rt,3
12086000107,28812,12,60.0,21,SUNNYOR,City of Sunny Isles Beach Orange Rt,3
12086000107,30430,3,36.0,15,75,MIAMI LAKES-NORTH MIAMI-SUNNY ISLES,3
12086000107,30437,8,9.473684210526315,140,100,DOWNTOWN-AVENTURA MALL VIA MIABEACH,3
12086000109,23916,6,90.0,12,NOMBLU,City of North Miami Blue,3
12086000109,23918,14,90.0,28,NOMRED,City of North Miami Red,3
12086000109,28812,2,90.0,4,SUNNYOR,City of Sunny Isles Beach Orange Rt,3
12086000109,28818,14,120.0,14,NMBEACC,City of North Miami Beach Blue Rt,3
12086000109,30399,15,13.846153846153847,161,3,AVENTURA-DOWNTOWN VIA BISC.BLVD.,3
12086000109,30430,21,16.363636363636363,131,75,MIAMI LAKES-NORTH MIAMI-SUNNY ISLES,3
12086000109,30716,7,15.0,46,135,OPALOCKA-NORTH MIAMI VIA 135 ST,3
12086000109,30718,8,30.0,40,203,DOWNTOWN-AVENTURA VIA BISCAYNE BLVD,3
12086000115,23885,2,90.0,4,AVTGRN,City of Aventura Exp (Green),3
12086000115,28811,5,120.0,5,SUNNYBL,City of Sunny Isles Beach Blue Rt,3
12086000115,28812,7,60.0,13,SUNNYOR,City of Sunny Isles Beach Orange Rt,3
12086000118,28811,6,120.0,6,SUNNYBL,City of Sunny Isles Beach Blue Rt,3
12086000118,28812,10,90.0,12,SUNNYOR,City of Sunny Isles Beach Orange Rt,3
12086000118,30430,8,30.0,38,75,MIAMI LAKES-NORTH MIAMI-SUNNY ISLES,3
12086000118,30437,8,9.473684210526315,143,100,DOWNTOWN-AVENTURA MALL VIA MIABEACH,3
12086000120,23916,4,90.0,8,NOMBLU,City of North Miami Blue,3
12086000120,23918,13,45.0,28,NOMRED,City of North Miami Red,3
12086000120,28818,1,120.0,1,NMBEACC,City of North Miami Beach Blue Rt,3
12086000120,30399,9,13.846153846153847,100,3,AVENTURA-DOWNTOWN VIA BISC.BLVD.,3
12086000120,30442,10,15.0,119,125,MDC NORTH TO MIAMI BEACH VIA 125 ST,3
12086000120,30718,4,30.0,20,203,DOWNTOWN-AVENTURA VIA BISCAYNE BLVD,3
12086000121,23885,9,90.0,18,AVTGRN,City of Aventura Exp (Green),3
12086000121,28812,1,120.0,1,SUNNYOR,City of Sunny Isles Beach Orange Rt,3
12086000122,23885,10,90.0,20,AVTGRN,City of Aventura Exp (Green),3
12086000122,23886,4,60.0,10,AVTPUR,City of Aventura Exp (Purple),3
12086000123,23885,2,90.0,4,AVTGRN,City of Aventura Exp (Green),3
12086000123,28811,12,120.0,12,SUNNYBL,City of Sunny Isles Beach Blue Rt,3
12086000123,28812,25,60.0,34,SUNNYOR,City of Sunny Isles Beach Orange Rt,3
12086000123,30430,10,18.0,56,75,MIAMI LAKES-NORTH MIAMI-SUNNY ISLES,3
12086000123,30437,10,9.0,183,100,DOWNTOWN-AVENTURA MALL VIA MIABEACH,3
12086000124,23916,9,90.0,18,NOMBLU,City of North Miami Blue,3
12086000124,23918,12,45.0,26,NOMRED,City of North Miami Red,3
12086000124,30399,9,13.846153846153847,100,3,AVENTURA-DOWNTOWN VIA BISC.BLVD.,3
12086000124,30407,13,45.0,52,16,163 ST- 79ST VIA NE 6AV & NE 16AV,3
12086000124,30442,9,15.0,105,125,MDC NORTH TO MIAMI BEACH VIA 125 ST,3
12086000124,30718,4,30.0,20,203,DOWNTOWN-AVENTURA VIA BISCAYNE BLVD,3
12086000125,28811,11,120.0,11,SUNNYBL,City of Sunny Isles Beach Blue Rt,3
12086000125,28812,13,60.0,19,SUNNYOR,City of Sunny Isles Beach Orange Rt,3
12086000125,30430,10,30.0,49,75,MIAMI LAKES-NORTH MIAMI-SUNNY ISLES,3
12086000125,30437,4,9.473684210526315,70,100,DOWNTOWN-AVENTURA MALL VIA MIABEACH,3
12086000126,28811,10,120.0,10,SUNNYBL,City of Sunny Isles Beach Blue Rt,3
12086000126,28812,13,90.0,17,SUNNYOR,City of Sunny Isles Beach Orange Rt,3
12086000126,30430,13,18.0,70,75,MIAMI LAKES-NORTH MIAMI-SUNNY ISLES,3
12086000126,30437,8,9.0,141,100,DOWNTOWN-AVENTURA MALL VIA MIABEACH,3
12086000128,23888,2,90.0,4,AVTYEL,City of Aventura Exp (Yellow),3
12086000128,28812,3,90.0,6,SUNNYOR,City of Sunny Isles Beach Orange Rt,3
12086000128,28817,4,90.0,8,NMBEACB,City of North Miami Beach Gold Rt.,3
12086000128,30399,4,13.846153846153847,44,3,AVENTURA-DOWNTOWN VIA BISC.BLVD.,3
12086000128,30402,4,20.0,30,9,AVENTURA-DOWNTOWN VIA NE 2 AVE,3
12086000128,30430,12,16.363636363636363,84,75,MIAMI LAKES-NORTH MIAMI-SUNNY ISLES,3
12086000128,30718,4,30.0,20,203,DOWNTOWN-AVENTURA VIA BISCAYNE BLVD,3
12086000129,23888,2,60.0,6,AVTYEL,City of Aventura Exp (Yellow),3
12086000130,28811,3,120.0,3,SUNNYBL,City of Sunny Isles Beach Blue Rt,3
12086000130,28812,10,60.0,16,SUNNYOR,City of Sunny Isles Beach Orange Rt,3
12086000130,30430,1,36.0,5,75,MIAMI LAKES-NORTH MIAMI-SUNNY ISLES,3
12086000130,30437,16,9.473684210526315,283,100,DOWNTOWN-AVENTURA MALL VIA MIABEACH,3
12086000131,23888,9,60.0,21,AVTYEL,City of Aventura Exp (Yellow),3
12086000131,30399,3,15.0,30,3,AVENTURA-DOWNTOWN VIA BISC.BLVD.,3
12086000131,30402,3,16.363636363636363,26,9,AVENTURA-DOWNTOWN VIA NE 2 AVE,3
12086000131,30449,1,25.714285714285715,7,183,AVENTURA-HIALEAH VIA 183 ST/67 AVE,3
12086000131,30718,3,30.0,14,203,DOWNTOWN-AVENTURA VIA BISCAYNE BLVD,3
12086000132,23888,29,60.0,60,AVTYEL,City of Aventura Exp (Yellow),3
12086000132,30399,6,13.846153846153847,65,3,AVENTURA-DOWNTOWN VIA BISC.BLVD.,3
12086000132,30402,6,20.0,45,9,AVENTURA-DOWNTOWN VIA NE 2 AVE,3
12086000132,30718,6,30.0,30,203,DOWNTOWN-AVENTURA VIA BISCAYNE BLVD,3
12086000134,23885,15,36.0,38,AVTGRN,City of Aventura Exp (Green),3
12086000134,23886,23,36.0,52,AVTPUR,City of Aventura Exp (Purple),3
12086000134,23888,12,36.0,33,AVTYEL,City of Aventura Exp (Yellow),3
12086000134,28811,6,120.0,6,SUNNYBL,City of Sunny Isles Beach Blue Rt,3
12086000134,28812,12,60.0,19,SUNNYOR,City of Sunny Isles Beach Orange Rt,3
12086000134,28817,1,90.0,2,NMBEACB,City of North Miami Beach Gold Rt.,3
12086000134,30399,3,8.571428571428571,42,3,AVENTURA-DOWNTOWN VIA BISC.BLVD.,3
12086000134,30402,3,6.206896551724138,58,9,AVENTURA-DOWNTOWN VIA NE 2 AVE,3
12086000134,30435,4,60.0,12,95,I-95 GOLDEN GLADES EXPRESS,3
12086000134,30437,10,5.294117647058823,189,100,DOWNTOWN-AVENTURA MALL VIA MIABEACH,3
12086000134,30449,3,12.857142857142858,28,183,AVENTURA-HIALEAH VIA 183 ST/67 AVE,3
12086000134,30717,7,15.0,48,199,COUNTRY CLUB-AVENTURA MALL VIA 199,3
12086000134,30718,3,18.0,20,203,DOWNTOWN-AVENTURA VIA BISCAYNE BLVD,3
12086000140,28811,7,120.0,7,SUNNYBL,City of Sunny Isles Beach Blue Rt,3
12086000140,28812,10,60.0,14,SUNNYOR,City of Sunny Isles Beach Orange Rt,3
12086000140,30430,8,36.0,38,75,MIAMI LAKES-NORTH MIAMI-SUNNY ISLES,3
12086000140,30437,6,9.473684210526315,108,100,DOWNTOWN-AVENTURA MALL VIA MIABEACH,3
12086000141,23885,5,90.0,10,AVTGRN,City of Aventura Exp (Green),3
12086000141,23888,6,36.0,18,AVTYEL,City of Aventura Exp (Yellow),3
12086000141,28812,1,120.0,1,SUNNYOR,City of Sunny Isles Beach Orange Rt,3
12086000141,30399,4,15.0,39,3,AVENTURA-DOWNTOWN VIA BISC.BLVD.,3
12086000141,30402,4,9.473684210526315,47,9,AVENTURA-DOWNTOWN VIA NE 2 AVE,3
12086000141,30449,3,22.5,22,183,AVENTURA-HIALEAH VIA 183 ST/67 AVE,3
12086000141,30718,4,30.0,18,203,DOWNTOWN-AVENTURA VIA BISCAYNE BLVD,3
12086000142,23885,8,60.0,18,AVTGRN,City of Aventura Exp (Green),3
12086000142,23888,2,60.0,5,AVTYEL,City of Aventura Exp (Yellow),3
12086000142,28811,2,120.0,2,SUNNYBL,City of Sunny Isles Beach Blue Rt,3
12086000142,28812,3,90.0,5,SUNNYOR,City of Sunny Isles Beach Orange Rt,3
12086000142,30437,1,9.0,20,100,DOWNTOWN-AVENTURA MALL VIA MIABEACH,3
12086000143,23885,12,60.0,28,AVTGRN,City of Aventura Exp (Green),3
12086000143,23886,10,60.0,23,AVTPUR,City of Aventura Exp (Purple),3
12086000143,23888,8,60.0,20,AVTYEL,City of Aventura Exp (Yellow),3
12086000143,28811,4,120.0,4,SUNNYBL,City of Sunny Isles Beach Blue Rt,3
12086000143,28812,8,90.0,12,SUNNYOR,City of Sunny Isles Beach Orange Rt,3
12086000143,30437,7,9.0,120,100,DOWNTOWN-AVENTURA MALL VIA MIABEACH,3
12086000144,23885,14,60.0,32,AVTGRN,City of Aventura Exp (Green),3
12086000144,23886,3,60.0,7,AVTPUR,City of Aventura Exp (Purple),3
12086000144,23888,4,60.0,10,AVTYEL,City of Aventura Exp (Yellow),3
12086000144,28811,4,120.0,4,SUNNYBL,City of Sunny Isles Beach Blue Rt,3
12086000144,28812,6,90.0,10,SUNNYOR,City of Sunny Isles Beach Orange Rt,3
12086000144,30437,4,9.0,70,100,DOWNTOWN-AVENTURA MALL VIA MIABEACH,3
12086000145,23885,4,90.0,8,AVTGRN,City of Aventura Exp (Green),3
12086000145,23886,12,90.0,24,AVTPUR,City of Aventura Exp (Purple),3
12086000146,23885,3,90.0,6,AVTGRN,City of Aventura Exp (Green),3
12086000146,23886,8,60.0,18,AVTPUR,City of Aventura Exp (Purple),3
12086000204,28819,21,60.0,39,NMBEACD,City of North Miami Beach Purple Rt,3
12086000204,30402,12,20.0,25,9,AVENTURA-DOWNTOWN VIA NE 2 AVE,3
12086000204,30408,30,20.0,182,17,163 ST TERM-VIZ VIA 17 AV,3
12086000204,30430,10,16.363636363636363,103,75,MIAMI LAKES-NORTH MIAMI-SUNNY ISLES,3
12086000204,30449,11,22.5,86,183,AVENTURA-HIALEAH VIA 183 ST/67 AVE,3
12086000204,30719,9,10.588235294117647,120,77,NORWOOD - DOWNTOWN VIA NW 7 AVE,3
12086000206,28817,5,90.0,10,NMBEACB,City of North Miami Beach Gold Rt.,3
12086000206,28818,17,120.0,17,NMBEACC,City of North Miami Beach Blue Rt,3
12086000206,28819,2,60.0,6,NMBEACD,City of North Miami Beach Purple Rt,3
12086000206,30399,5,13.846153846153847,56,3,AVENTURA-DOWNTOWN VIA BISC.BLVD.,3
12086000206,30402,9,7.5,91,9,AVENTURA-DOWNTOWN VIA NE 2 AVE,3
12086000206,30407,13,45.0,46,16,163 ST- 79ST VIA NE 6AV & NE 16AV,3
12086000206,30408,2,20.0,18,17,163 ST TERM-VIZ VIA 17 AV,3
12086000206,30430,17,8.571428571428571,160,75,MIAMI LAKES-NORTH MIAMI-SUNNY ISLES,3
12086000206,30467,6,45.0,21,510,SKYLAKE CIRCULATOR,3
12086000206,30716,3,30.0,17,135,OPALOCKA-NORTH MIAMI VIA 135 ST,3
12086000206,30718,3,30.0,16,203,DOWNTOWN-AVENTURA VIA BISCAYNE BLVD,3
